[0201/103118.064:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0201/104717.842:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104722.861:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104727.875:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104732.880:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104737.903:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104742.910:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104747.921:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104752.941:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104757.958:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104802.968:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104807.989:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104813.008:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104818.028:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104823.046:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104828.058:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104833.078:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104838.087:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104843.089:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104848.098:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104853.117:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104858.125:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104903.143:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104908.163:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104913.182:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104918.191:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104920.398:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0201/104920.586:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0201/104920.586:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0201/104920.615:WARNING:angle_platform_impl.cc(52)] compileToBinary(230): 
C:\fakepath(69,8-58): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them
C:\fakepath(77,9-43): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them

[0201/104923.199:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104928.215:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104933.228:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104938.238:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104943.247:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104948.269:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104953.279:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/104958.287:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105003.299:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105008.311:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105013.330:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105018.346:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105023.363:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105028.386:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105033.389:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105038.401:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105043.409:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105048.429:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105053.447:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105058.453:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105103.460:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105108.471:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105113.474:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0201/105118.484:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
